dc.title,dc.contributor.author,dc.contributor,dc.contributor.editor,dc.subject.frascati,dc.subject.free,dc.description,dc.publisher,dc.date,dc.type,Orfeo.peerreviewed,dc.identifier.isbn,dc.identifier.issn,dc.identifier.publisherlink,dc.identifier.doi,dc.identifier.isi,dc.identifier.pubmed,dc.identifier.url,dc.identifier.scopus,dc.identifier.worldcat,dc.identifier.limo,dc.identifier.depositnumber,dc.source.title,dc.source.volume,dc.source.issue,dc.source.page,dc.relation.ispartofseries,dc.identifier.citation,dc.language,dc.relation.project,dc.audience,dc.coverage.spatial,dc.coverage.temporal,file
"1. Field work","Vermeersch, P.M.||Moeyersons, J.||Van Peer, P.||Rots, V.||Vanmontfort, B.","","P.M. Vermeersch","","Natural hazards","","Leuven University Press","2008","Partie douvrage peer reviewed","yes","978 90 5867 663 4","","","","","","","","","","","A Holocene Prehistoric Sequence in the Egyptian Red Sea Area: the Tree Shelter","7","","11-62","Egyptian Prehistory Monographs","","EN","","Scientifique","","",""
"Rhabdalestes yokai (Characiformes: Alestidae), a new species from the Léfini and Sangha River basins (Congo River basin), Africa.","Ibala Zamba, A||Vreven, E","","","","Vertebrates","Rhabdalestes yokai, new species, is described from the Léfini basin (Middle Congo River, Republic of Congo) and the Sangha basin (Middle Congo River, Central African Republic). It is distinguished from the other Rhabdalestes species by the following combination of characters: 5-7 outer row premaxillary teeth with 5 (exceptionally 3) cusps; 8 mandibular teeth with 5-7 cusps; a complete lateral line with 25-26 pored scales; 4 1/2 scales above the lateral line; 3 unbranched and 18-19 (exceptionally 17) branched anal-fin rays and 13-14 gill rakers on the lower limb of the first gill arch.","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Ichthyological Exploration of Freshwaters","19(4)","","377-384","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Ibala Zamba and Vreven 2008_sec.pdf::accessrights:public access"
"Nannopetersius mutambuei (Characiformes: Alestidae), a new species from the Inkisi River basin, Democratic Republic of Congo.","Wamuini Lunkayilakio, S||Vreven, E","","","","Vertebrates","Nannopetersius mutambuei, new species, is described from the Inkisi River basin (Lower Congo, Democratic Republic of Congo). It is distinguished from its congeners by the following combination of characters: 28-30 lateral line scales; 5 1/2 - 6 1/2 scales between lateral line and dorsal-fin origin; caudal peduncle longer than deep (length 135.7-151.7 % of its depth); 21-23 branched anal-fin rays; 10-13 gill rakers on ceratobranchial of first branchial arch; snout length 26.6-29.2 % HL; eye diameter 31.7-39.6 % HL and a black longitudinal band present in preserved specimens but absent in living specimens.","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Ichthyological Exploration of Freshwaters","19(4)","","367-376","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Wamuini and Vreven 2008_sec.pdf::accessrights:public access"
"Distichodus teugelsi a new distichodontid from the middle Congo River basin, Africa (Characiformes: Distichodontidae).","Mamonekene, V||Vreven, E.J.","","","","Vertebrates","Distichodus teugelsi, new species, is described from the middle Congo River basin. The species is distinguished from all other Distichodus species by the following combination of characters: presence of two rows of bicuspid teeth on upper jaw and a single one on lower jaw; unique colour pattern characterised by a light greenish band dividing the flanks into a darker greenish upper and lower part. Distichodus teugelsi is a dwarf species of Distichodus (maximum size: 65.0 mm TL), based on the presence of nearly ripe eggs in several female specimens (50.9-54.3 mm SL). With a single row of bicuspid teeth in the lower jaw, instead of two rows, both dwarf Distichodus species (D. teugelsi, D. decemmaculatus) differ in this respect from the current diagnosis of the genus. ","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Ichthyological Exploration of Freshwaters","19(2)","","","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Mamonekene and Vreven 2008.pdf::accessrights:public access"
"Le colonisateur satisfait ou le Congo représenté en Belgique (1897-1958)","Cornelis [Bompuku Eyenga-Cornelis], S.","","","","Culture & Society","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Science Connection","22.7.2008","","29-34","","","FR","","Scientifique","","",""
"De tevreden kolonisator of hoe Congo in België werd voorgesteld (1897-1958)","Cornelis [Bompuku Eyenga-Cornelis], S.","","","","Culture & Society","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Science Connection","22.7.2008","","29-34","","","EN","","Scientifique","","",""
"The boundaries of the West African craton, with a special reference to the basement of the Moroccan metacratonic Anti-Atlas belt.","Ennih, N||Liégeois, J.P.","","ENNIH, N. & LIEGEOIS, J.-P.","","Geodynamics and mineral resources","","Geological Society","2008","Partie douvrage peer reviewed","yes","","","","10.1144/SP297.1","","","","","","","","The Boundaries of the West African Craton","297","","1-17","Special Publications","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Ennih-Liegeois-2008-GSLSP297-Anti-Atlas-basement.pdf::accessrights:public access"
"Colonial and Postcolonial Exhibitions in Belgium (1885-2005)","Cornelis [Bompuku Eyenga-Cornelis], S.","","P. Poddar, R.S. Patke et L. Jensen","","Culture & Society","","Edinburgh University Press","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","A Historical Companion to Postcolonial Literatures. Continental Europe and its Empires","","","21-23","","","EN","","Scientifique","","",""
"Cassiterite and columbo-tantalite (Coltan) mineralisation in the Proterozoic rocks of the northern part of the Kibara orogen (Central Africa): preliminary results","Dewaele, S.||Fernandez-Alonso, M.||Tack, L.","","","","Geodynamics and mineral resources||PROMINES","The Central African Kibara orogen extends from the southeastern part of  Uganda to the southern part of the Democratic Republic of Congo (DRC). It forms a met- allogenic   province that hosts different types of granite-related mineralization: cassiterite,   columbite-tantalite, wolframite, gold, monazite, amblygonite, beryl, etc. These minerals are   present in different types of mineralization. The minerals occur as primary mineraliza- tion in   quartz veins and pegmatites, but also as secondary mineralization in alluvial or elu- vial   deposits. In this study, we focus on the metallogeny of the primary tin and columbite- tantalite   mineralization in the northern part of the Kibara orogen (Rwanda, Burundi, Uganda, Tanzania,   Maniema and Kivu in the DRC). Based on a systematic overview of mining data in the archives of the   RMCA, field work, petrography, geochemical, miner- alogical and microthermometric investigations of   ore and gangue minerals and based on a comparison with recent ore-forming models of granite-related   ore deposits, a preliminary metallogenic model is proposed.  The main granite generation G1-3 intruded at 1380 +/- 10 Ma in the Palaeo- and Mesoproterozoic   rocks of the Kibara orogen. At ~986 Ma, the youngest G4 granite gener- ation formed. Although   historically called tin-granite, this granite generation is not min- eralized. After   consolidation of the G4-granite, pegmatites were emplaced (~ 960 Ma). Some of these pegmatites are   mineralized in columbite-tantalite. At ~940 Ma, cassiterite- mineralized quartz veins formed. In   the pegmatite area, this hydrothermal phase resulted  in an intense alteration of the pegmatitic bodies.  ","Royal Academy for Overseas Sciences","2008","Article scientifique peer reviewed","yes","","0001-4176","","","","","","","","","","Bull. Scéanc. Acad.R. Sci. Outre-Mer","54","","341-357","","","EN","","Scientifique","","",""
"Estimating the diversity of arboreal oonopid spider assemblages (Araneae, Oonopidae) at Afrotropical sites.","Fannes, W.||De Bakker, D.||Loosveldt, K.||Jocqué, R.","","","","Biological collection and data management||Vertebrates","<SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>The abundance, species richness, and assemblage structure of arboreal Oonopidae of Afrotropical rainforests and savannahs was investigated. Canopy-dwelling spiders were collected by insecticide knockdown fogging at 11 rainforest and three savannah sites in West, Central, and </SPAN><?xml:namespace prefix = st1 ns = "urn:schemas-microsoft-com:office:smarttags" /><st1:place><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>East Africa</SPAN></st1:place><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>. In two lowland rainforests (Luki, DR Congo, and </SPAN><st1:place><st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Kakum</SPAN></st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>, </SPAN><st1:country-region><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Ghana</SPAN></st1:country-region></st1:place><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>) and two savannahs (</SPAN><st1:place><st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Faro</SPAN></st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>, </SPAN><st1:country-region><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Cameroon</SPAN></st1:country-region></st1:place><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>, and </SPAN><st1:place><st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Mkomazi</SPAN></st1:City><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>, </SPAN><st1:country-region><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>Tanzania</SPAN></st1:country-region></st1:place><SPAN style="FONT-FAMILY: 'Times New Roman'; FONT-SIZE: 12pt; mso-ansi-language: EN-GB; mso-fareast-language: FR-BE; mso-bidi-language: AR-SA; mso-fareast-font-family: 'Times New Roman'" lang=EN-GB>) Oonopidae were the second most abundant spider family, comprising up to 22%of the arboreal arachnofauna. In total, 51 species and 11 genera of Oonopidae were recorded from the 14 study sites. Kakum was the most species- and genus-rich site, with 11 species and 5 genera recorded. The arboreal oonopid assemblages were almost invariably found to be dominated by the widely-distributed genera Orchestina Simon and Opopaea Simon, in terms of both abundance and species richness. Orchestina in particular can be highly abundant and can comprise more than 90% of arboreal oonopids in rainforests as well as in savannahs. Species accumulation curves and six nonparametric estimators of total species richness (Chao 1, Chao 2, ACE, first- and second-order jackknife, and bootstrap) were calculated for Luki, Kakum, and Faro to evaluate the level of inventory completeness. In Kakum and Faro the species accumulation curve respectively closely approached and reached a stable asymptote. The selected nonparametric estimators were found to lack predictive power when applied to the Faro data set and appeared to behave similarly poorly on the Kakum sample set.</SPAN>","","2008","Article scientifique peer reviewed","yes","","","","","","","http://www.americanarachnology.org/JoA_free/JoA_v36_n2/arac-36-2-322.pdf","","","","","Journal of arachnology","36","","322-330","","","EN","The goblin spider Planetary Biodiversity Inventory (PBI) ( NSF (United States) )","Scientifique","","",""
"How to rehydrate dried spiders.","Jocqué, R.","","","","Biological collection and data management","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Newsletter of the British Arachnological Society","112","","5","","","EN","","Scientifique","","",""
"A new candidate for a Gondwanaland distribution in the Zodariidae (Araneae): Australutica in Africa.","Jocqué , R.","","","","Biological collection and data management","","","2008","Article scientifique peer reviewed","yes","","","","","","","http://pensoftonline.net/zookeys/index.php/journal/article/view/10/16","","","","","Zookeys","1","","59-66","","","EN","Taxonomical revision of certain spider families ( RMCA )","Scientifique","","",""
"Ultrastructure of Antoonops, a new, ant-mimicking genus of Afrotropical Oonopidae (Araneae) with complex internal genitalia.","Fannes, W.||Jocqué, R.","","","","Biological collection and data management||Vertebrates","Antoonops, a new genus of the spider family Oonopidae, is described from West Africa. The genus contains four new species, all known from both sexes: A. corbulo (type species), A. bouaflensis, A. iita, and A. nebula. All species mimic ants and exhibit a pronounced sexual dimorphism. Several new ultrastructural features are reported, including putative gland pores associated with the coxal insertions, specialized cheliceral setae, and peculiarly modified male endites. The potential of these and other traits as phylogenetically informative characters is discussed. SEM investigation of the internal female genitalia of A. corbulo reveals the presence of two peculiarly shaped sclerites embedded in the walls of the uterus externus and a reproductive tract with an apparent flow-through design.","","2008","Article scientifique peer reviewed","yes","","","","","","","http://digitallibrary.amnh.org/dspace/handle/2246/5919","","","","","American Museum Novitates","3614","","1-30","","","EN","The goblin spider Planetary Biodiversity Inventory (PBI) ( NSF (United States) )","Scientifique","","",""
"A new species of the nebulosa-group of Pardosa (Lycosidae, araneae) from Côte dIvoire  a victim of the exotic weed Chromolaena odorata (Asteraceae)?","Alderweireldt, M.||Jocqué, R.","","","","Biological collection and data management","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Journal of Afrotropical Zoology ","4","","105-110","","","EN","Taxonomical revision of certain spider families ( RMCA )","Scientifique","","",""
"Nature and periodicity of growth rings in two Bangladeshi mangrove species","Chowdhury, M.||Schmitz, N.||Verheyden, A.||Sass-Klaassen, U.||Koedam, N.||Beeckman, H.","","","","Wood biology","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","IAWA Journal","29(3)","","265-276","","","EN","Hydraulic architecture of mangrove trees and its functional importance ( RMCA )","Scientifique","","",""
"Aseismic strain accommodation by dyking in a youthful continental rift, East Africa.","Calais, E.||d'Oreye, N.||Albaric, J.||Deschamps, A.||Delvaux, D.||Déverchère, J.||Ebinger, C.||Wambura, R.F.||Kervyn, F.||Macheyeki, A.S.||Oyen, A.||Saria, E.||Smets, B.||Stamps, D.S.||Wauthier, C.","","","","Geodynamics and mineral resources||Natural hazards","Continental rifts begin and develop through repeated episodes of faulting and magmatism, but strain partitioning between faulting and magmatism during discrete rifting episodes remains poorly documented. In highly evolved rifts, tensile stresses from far-field plate motions accumulate over decades before being released during relatively short time intervals by faulting and magmatic intrusions13. These rifting crises are rarely observed in thick lithosphere during the initial stages of rifting. Here we show thatmost of the strain during the JulyAugust 2007 seismic crisis in the weakly extended Natron rift, Tanzania, was released aseismically. Deformation was achieved by slow slip on a normal fault that promoted subsequent dyke intrusion by stress unclamping. This event provides compelling evidence for strain accommodation bymagma intrusion, in addition to slip along normal faults, during the initial stages of continental rifting and before significant crustal thinning.","","2008","Article scientifique peer reviewed","yes","","","","10.1038/nature07478","","","http://www.nature.com/nature/journal/v456/n7223/pdf/nature07478.pdf","","","","","Nature","456, 7223, 11 December 2008","","783-787","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/2008_Calais_al_Natron2007Sismo-volcanicCrisis.pdf::accessrights:public access"
