"id","dataset","created_at","updated_at"
97,"2024910_Ag_EU_EuropeanaPhotography_Polfoto_1014","2016-03-08 06:59:30.774244","2016-03-08 06:59:30.774244"
98,"2026108_Ag_EU_PartagePlus_1021","2016-03-08 06:59:30.77501","2016-03-08 06:59:30.77501"
99,"2048006_Ag_EU_AthenaPlus_IrodalmiMuseum","2016-03-08 06:59:30.775749","2016-03-08 06:59:30.775749"
100,"2048046_Ag_EU_AthenaPlus_Gencat","2016-03-08 06:59:30.776493","2016-03-08 06:59:30.776493"
102,"2048051_Ag_EU_AthenaPlus_SNHM","2016-03-08 06:59:30.777968","2016-03-08 06:59:30.777968"
103,"2048107_Ag_HU_MaNDA_image3","2016-03-08 06:59:30.778745","2016-03-08 06:59:30.778745"
104,"2048109_Ag_HU_MaNDA_image4","2016-03-08 06:59:30.779499","2016-03-08 06:59:30.779499"
105,"2048113_Ag_HU_MaNDA_image6","2016-03-08 06:59:30.780236","2016-03-08 06:59:30.780236"
106,"2048215_Ag_EU_EuropeanaFashion_1033","2016-03-08 06:59:30.780959","2016-03-08 06:59:30.780959"
107,"2048306_Ag_EU_ApeX_NLLdnRAL","2016-03-08 06:59:30.781682","2016-03-08 06:59:30.781682"
108,"2048316_Ag_EU_ApeX_EETLA","2016-03-08 06:59:30.782404","2016-03-08 06:59:30.782404"
110,"2048703_Ag_EU_3D-ICONS_ICA","2016-03-08 06:59:30.783888","2016-03-08 06:59:30.783888"
111,"2048705_Ag_EU_3D-ICONS_DISC","2016-03-08 06:59:30.784639","2016-03-08 06:59:30.784639"
112,"2058613_Ag_EU_LoCloud_AIT","2016-03-08 06:59:30.78537","2016-03-08 06:59:30.78537"
113,"2058616_Ag_EU_LoCloud_BJC","2016-03-08 06:59:30.786118","2016-03-08 06:59:30.786118"
114,"15903_AV_IE_ARD_text28","2016-03-08 06:59:30.78686","2016-03-08 06:59:30.78686"
115,"2021705_Ag_CY_Cyprus_Library","2016-03-08 06:59:30.787638","2016-03-08 06:59:30.787638"
116,"919111_L_Es_BibCatalunya_Barcelona_FotosOC","2016-03-08 06:59:30.788368","2016-03-08 06:59:30.788368"
118,"15412_Ag_IE_IMC_itma_2","2016-03-08 06:59:30.789847","2016-03-08 06:59:30.789847"
119,"2021502_Ag_BG_Ontotext_hdl_pub_3","2016-03-08 06:59:30.790597","2016-03-08 06:59:30.790597"
120,"2023509_Ag_FR_ELocal_CTHMPO01","2016-03-08 06:59:30.791333","2016-03-08 06:59:30.791333"
122,"91932_L_ES_BibCatalunya_mapesBC","2016-03-08 06:59:30.792773","2016-03-08 06:59:30.792773"
123,"91956_L_Es_BibCatalunya_fulletsAB","2016-03-08 06:59:30.79351","2016-03-08 06:59:30.79351"
125,"2058628_Ag_EU_LoCloud_PL","2016-03-17 10:37:01.18616","2016-03-17 10:37:01.18616"
126,"2048319_Ag_EU_ApeX_NLHaNA","2016-05-20 05:33:57.237395","2016-05-20 05:33:57.237395"
127,"08566_Ag_EU_ATHENA_Royal_Museum_for_Art_and_Histor","2016-05-20 05:33:57.386945","2016-05-20 05:33:57.386945"
128,"2048007_Ag_EU_AthenaPlus_HallwylskaMuseum","2016-05-20 05:33:57.441749","2016-05-20 05:33:57.441749"
129,"2023809_AG-EU_LinkedHeritage_ByzantineMuseum","2016-05-20 05:33:57.500499","2016-05-20 05:33:57.500499"
130,"08511_Ag_EU_ATHENA_InstituteforCulturalMemory(CIME","2016-05-20 05:33:57.541939","2016-05-20 05:33:57.541939"
131,"08520_Ag_EU_ATHENA_Ministry_of_Culture_of_the_Repu","2016-05-20 05:33:57.585981","2016-05-20 05:33:57.585981"
132,"08562_Ag_EU_ATHENA_KHI_Florenz","2016-05-20 05:33:57.625632","2016-05-20 05:33:57.625632"
133,"2021609_Ag_NL_DigitaleCollectie_museum-rotterdam","2016-05-20 05:33:57.683351","2016-05-20 05:33:57.683351"
134,"2023820_AG-EU_LinkedHeritage_MuseesRoyaux","2016-05-20 05:33:57.749","2016-05-20 05:33:57.749"
135,"2024903_Ag_EU_EuropeanaPhotography_KULeuven_1010","2016-05-20 05:33:57.794123","2016-05-20 05:33:57.794123"
136,"2048048_Ag_EU_AthenaPlus_Merab","2016-05-20 05:33:57.837664","2016-05-20 05:33:57.837664"
137,"2048611_Ag_EU_DM2E_sbb_kpe","2016-05-20 05:33:57.890919","2016-05-20 05:33:57.890919"
138,"92083_Ag_GE_TEL_Germany_EuropeanaRegia","2016-05-20 05:33:57.944777","2016-05-20 05:33:57.944777"
139,"2032013_Ag_EU_EInside_SPK","2016-05-20 05:33:58.004252","2016-05-20 05:33:58.004252"
